Harga Aktual (Rp),Harga Prediksi (Rp),Residual
525000000.0,546531460.0,-21531456.0
375000000.0,444000800.0,-69000800.0
1100000000.0,928047900.0,171952128.0
2000000000.0,1621320400.0,378679552.0
764000000.0,797810100.0,-33810112.0
764000000.0,797810100.0,-33810112.0
920000000.0,1292230000.0,-372230016.0
774000000.0,883828350.0,-109828352.0
1700000000.0,1667680000.0,32320000.0
2800000000.0,3016790500.0,-216790528.0
2800000000.0,2929874400.0,-129874432.0
6000000000.0,5747126300.0,252873728.0
1700000000.0,1487339100.0,212660864.0
2800000000.0,2846830600.0,-46830592.0
1250000000.0,966085250.0,283914752.0
2850000000.0,2459200500.0,390799488.0
4150000000.0,4496308000.0,-346308224.0
1800000000.0,1723146600.0,76853376.0
1000000000.0,1050204900.0,-50204928.0
800000000.0,627261500.0,172738496.0
895000000.0,855696830.0,39303168.0
450000000.0,436720500.0,13279488.0
1500000000.0,1384880400.0,115119616.0
590000000.0,627293800.0,-37293824.0
590000000.0,627293800.0,-37293824.0
1500000000.0,1254779600.0,245220352.0
1250000000.0,1122599700.0,127400320.0
1250000000.0,1177329700.0,72670336.0
970000000.0,862567700.0,107432320.0
779000000.0,821043650.0,-42043648.0
550000000.0,627293800.0,-77293824.0
550000000.0,627293800.0,-77293824.0
375000000.0,418160400.0,-43160384.0
550000000.0,796713700.0,-246713728.0
550000000.0,592817700.0,-42817728.0
455000000.0,468346000.0,-13345984.0
900000000.0,964034750.0,-64034752.0
390000000.0,348965820.0,41034176.0
967000000.0,906496060.0,60503936.0
1500000000.0,1493858300.0,6141696.0
2300000000.0,2280235300.0,19764736.0
390000000.0,371546600.0,18453408.0
409000000.0,365488500.0,43511488.0
168000000.0,229697010.0,-61697008.0
300000000.0,328294200.0,-28294208.0
1650000000.0,1280595000.0,369405056.0
450000000.0,644536700.0,-194536704.0
900000000.0,962085760.0,-62085760.0
750000000.0,849619260.0,-99619264.0
1050000000.0,975525000.0,74475008.0
2500000000.0,2275573500.0,224426496.0
300000000.0,409561200.0,-109561216.0
795000000.0,887729340.0,-92729344.0
1000000000.0,1030194700.0,-30194688.0
1900000000.0,1378042800.0,521957248.0
1180000000.0,1144391700.0,35608320.0
1430000000.0,1244198300.0,185801728.0
1180000000.0,1134910000.0,45090048.0
400000000.0,360216960.0,39783040.0
1470000000.0,1132516200.0,337483776.0
440000000.0,534130800.0,-94130816.0
324000000.0,391804670.0,-67804672.0
764000000.0,778488000.0,-14488000.0
764000000.0,778488000.0,-14488000.0
764000000.0,778488000.0,-14488000.0
1900000000.0,1859995000.0,40004992.0
650000000.0,681608400.0,-31608384.0
1450000000.0,1834591500.0,-384591488.0
650000000.0,681608400.0,-31608384.0
925000000.0,900377150.0,24622848.0
950000000.0,953899840.0,-3899840.0
1300000000.0,1170475900.0,129524096.0
1350000000.0,1157280900.0,192719104.0
490000000.0,512282180.0,-22282176.0
650000000.0,809162940.0,-159162944.0
770000000.0,758344000.0,11656000.0
720000000.0,797087700.0,-77087680.0
875000000.0,829032900.0,45967104.0
875000000.0,829032900.0,45967104.0
875000000.0,829032900.0,45967104.0
1490000000.0,1420943400.0,69056640.0
2750000000.0,2718465300.0,31534720.0
1900000000.0,1574572900.0,325427072.0
850000000.0,1186717400.0,-336717440.0
1900000000.0,1660332500.0,239667456.0
2500000000.0,3351291000.0,-851290880.0
1590000000.0,1978516100.0,-388516096.0
3100000000.0,2657721600.0,442278400.0
700000000.0,630062500.0,69937472.0
930000000.0,802016500.0,127983488.0
2000000000.0,1809034500.0,190965504.0
2700000000.0,2133365400.0,566634624.0
420000000.0,368133120.0,51866880.0
1200000000.0,1023043650.0,176956352.0
2300000000.0,2211568400.0,88431616.0
1950000000.0,1666830800.0,283169152.0
2000000000.0,1364135600.0,635864448.0
764000000.0,802448000.0,-38448000.0
764000000.0,802448000.0,-38448000.0
1400000000.0,1632080500.0,-232080512.0
385000000.0,488641280.0,-103641280.0
950000000.0,1311628700.0,-361628672.0
345000000.0,334921900.0,10078112.0
180000000.0,196505490.0,-16505488.0
250000000.0,302882720.0,-52882720.0
481000000.0,410972100.0,70027904.0
555000000.0,462960220.0,92039776.0
375000000.0,389822600.0,-14822592.0
723000000.0,743401150.0,-20401152.0
495000000.0,607278900.0,-112278912.0
850000000.0,661189600.0,188810368.0
400000000.0,413780830.0,-13780832.0
777000000.0,668177600.0,108822400.0
625000000.0,584815900.0,40184128.0
6000000000.0,5320406000.0,679593984.0
1000000000.0,1149017500.0,-149017472.0
1400000000.0,1740777100.0,-340777088.0
650000000.0,709074240.0,-59074240.0
4850000000.0,4552955000.0,297045120.0
700000000.0,715224700.0,-15224704.0
418000000.0,458217200.0,-40217216.0
320000000.0,374107300.0,-54107296.0
370000000.0,374107300.0,-4107296.0
325000000.0,354835970.0,-29835968.0
750000000.0,742072300.0,7927680.0
450000000.0,354835970.0,95164032.0
